rarity,id,name,image_url,appeal,skill,preawakened
PR,1,"""Sweet Rewards"" Ichigo Hoshimiya",https://vignette.wikia.nocookie.net/aikatsu/images/8/8b/Photokatsu_0001.jpg/revision/latest?cb=20160127150908,Premium Angel Arrow,Cute Score UP! (iv),
PR+,2,"""Playful Angel"" Ichigo Hoshimiya+",https://vignette.wikia.nocookie.net/aikatsu/images/3/30/Photokatsu_0002.jpg/revision/latest?cb=20160209170314,Premium Angel Arrow,Cute Score UP! (iv),
SR,3,"""Macaron Time"" Ichigo Hoshimiya",https://vignette.wikia.nocookie.net/aikatsu/images/0/00/Photokatsu_0003.jpg/revision/latest?cb=20160128125917,Angel Arrow,Aura plus Appeal! (iii),
SR+,4,"""Whip Cream"" Ichigo Hoshimiya+",https://vignette.wikia.nocookie.net/aikatsu/images/5/5e/Photokatsu_0004.png/revision/latest?cb=20160201142744,Angel Arrow,Aura plus Appeal! (iii),
R,5,Ichigo Hoshimiya,https://vignette.wikia.nocookie.net/aikatsu/images/d/d3/Photokatsu_0005.jpg/revision/latest?cb=20160128030316,Cute Flash,Cute Score UP! (ii),
R+,6,Ichigo Hoshimiya+,https://vignette.wikia.nocookie.net/aikatsu/images/8/8e/Photokatsu_0006.png/revision/latest?cb=20160201095021,Cute Flash,Cute Score UP! (ii),
PR,7,"""A Wish to the Milky Way"" Aoi Kiriya",https://vignette.wikia.nocookie.net/aikatsu/images/8/86/Photokatsu_0007.png/revision/latest?cb=20160131131352,Premium Cosmo Showtime,Cool Aura UP! (iv),
PR+,8,"""Shine of the Milky Way"" Aoi Kiriya+",https://vignette.wikia.nocookie.net/aikatsu/images/2/27/Photokatsu_0008.jpg/revision/latest?cb=20170209020911,Premium Cosmo Showtime,Cool Aura UP! (iv),
SR,9,"""Prism Star"" Aoi Kiriya",https://vignette.wikia.nocookie.net/aikatsu/images/e/e1/Photokatsu_0009.jpg/revision/latest?cb=20160128125928,Cosmo Showtime,Cool Aura UP! (iii),
SR+,10,"""Roller Star"" Aoi Kiriya+",https://vignette.wikia.nocookie.net/aikatsu/images/9/98/Photokatsu_0010.jpg/revision/latest?cb=20160202130703,Cosmo Showtime,Cool Aura UP! (iii),
R,11,Aoi Kiriya,https://vignette.wikia.nocookie.net/aikatsu/images/7/7a/Photokatsu_0011.jpg/revision/latest?cb=20160129111830,Cool Flash,Cool Aura UP! (ii),
R+,12,Aoi Kiriya+,https://vignette.wikia.nocookie.net/aikatsu/images/c/c8/Photokatsu_0012.png/revision/latest?cb=20160202154047,Cool Flash,Cool Aura UP! (ii),
PR,13,"""Invitation from an Ageha"" Ran Shibuki",https://vignette.wikia.nocookie.net/aikatsu/images/2/29/Photokatsu_0013.jpg/revision/latest?cb=20160131072427,Premium Butterfly Flip,Sexy plus Appeal! (iv),
PR+,14,"""Rose Princess"" Ran Shibuki+",https://vignette.wikia.nocookie.net/aikatsu/images/4/4c/Photokatsu_0014.jpg/revision/latest?cb=20160210123353,Premium Butterfly Flip,Sexy plus Appeal! (iv),
SR,15,"""Night of the Ageha"" Ran Shibuki",https://vignette.wikia.nocookie.net/aikatsu/images/c/cc/Photokatsu_0015.png/revision/latest?cb=20160128110143,Butterfly Flip,Sexy Change (iii),
SR+,16,"""The Blue Rose Under the Moonlight"" Ran Shibuki+",https://vignette.wikia.nocookie.net/aikatsu/images/0/0d/Photokatsu_0016.jpg/revision/latest?cb=20160621152205,Butterfly Flip,Sexy Change (iii),
R,17,Ran Shibuki,https://vignette.wikia.nocookie.net/aikatsu/images/8/83/Photokatsu_0017.jpg/revision/latest?cb=20180723121103,Sexy Flash,Sexy plus Appeal! (ii),
R+,18,Ran Shibuki+,https://vignette.wikia.nocookie.net/aikatsu/images/9/9e/Photokatsu_0018.jpg/revision/latest?cb=20160205134003,Sexy Flash,Sexy plus Appeal! (ii),
SR,19,"""The Rainbow Alice"" Otome Arisugawa",https://vignette.wikia.nocookie.net/aikatsu/images/9/97/Photokatsu_0019.png/revision/latest?cb=20160127145624,Candy Rainbow,Pop Change (iii),
SR+,20,"""The Orange of Happiness"" Otome Arisugawa+",https://vignette.wikia.nocookie.net/aikatsu/images/e/e9/Photokatsu_0020.png/revision/latest?cb=20160205220016,Candy Rainbow,Pop Change (iii),
R,21,Otome Arisugawa,https://vignette.wikia.nocookie.net/aikatsu/images/3/37/Photokatsu_0021.png/revision/latest?cb=20160131131128,Pop Flash,Pop Score UP! (ii),
R+,22,Otome Arisugawa+,https://vignette.wikia.nocookie.net/aikatsu/images/b/be/Photokatsu_0022.png/revision/latest?cb=20160131125831,Pop Flash,Pop Score UP! (ii),
SR,23,"""An Elegant Smile"" Yurika Tōdō",https://vignette.wikia.nocookie.net/aikatsu/images/1/15/Photokatsu_0023.jpg/revision/latest?cb=20160127111910,Clock Circus,All Score UP! (iii),
SR+,24,"""Resident of the Bird Cage"" Yurika Tōdō+",https://vignette.wikia.nocookie.net/aikatsu/images/c/c1/Photokatsu_0024.jpg/revision/latest?cb=20160205153421,Clock Circus,All Score UP! (iii),
R,25,Yurika Tōdō,https://vignette.wikia.nocookie.net/aikatsu/images/d/dc/Photokatsu_0025.jpg/revision/latest?cb=20160128093827,Cool Flash,Cool Score UP! (ii),
R+,26,Yurika Tōdō+,https://vignette.wikia.nocookie.net/aikatsu/images/c/c9/Photokatsu_0026.jpg/revision/latest?cb=20160212132825,Cool Flash,Cool Score UP! (ii),
R,27,Kaede Ichinose,https://vignette.wikia.nocookie.net/aikatsu/images/4/45/Photokatsu_0027.jpg/revision/latest?cb=20160128094105,Pop Flash,Pop Aura UP! (ii),
R+,28,Kaede Ichinose+,https://vignette.wikia.nocookie.net/aikatsu/images/a/ae/Photokatsu_0028.png/revision/latest?cb=20160131130121,Pop Flash,Pop Aura UP! (ii),
R,29,Shion Kamiya,https://vignette.wikia.nocookie.net/aikatsu/images/7/7d/Photokatsu_0029.png/revision/latest?cb=20160127091819,Cool Flash,Cool Change (ii),
R+,30,Shion Kamiya+,https://vignette.wikia.nocookie.net/aikatsu/images/f/ff/Photokatsu_0030.png/revision/latest?cb=20160131131533,Cool Flash,Cool Change (ii),
R,31,Hikari Minowa,https://vignette.wikia.nocookie.net/aikatsu/images/e/ee/Photokatsu_0031.jpg/revision/latest?cb=20160127112009,Sexy Flash,Sexy plus Appeal! (ii),
R+,32,Hikari Minowa+,https://vignette.wikia.nocookie.net/aikatsu/images/d/d2/Photokatsu_0032.jpg/revision/latest?cb=20160617142934,Sexy Flash,Sexy plus Appeal! (ii),
SR,33,"""Guide of the Fairytales"" Sakura Kitaōji",https://vignette.wikia.nocookie.net/aikatsu/images/d/d5/Photokatsu_0033.jpg/revision/latest?cb=20160130091738,Around Bouquet,Cute Score UP! (iii),
SR+,34,"""Girl of the Spring Garden"" Sakura Kitaōji+",https://vignette.wikia.nocookie.net/aikatsu/images/4/43/Photokatsu_0034.png/revision/latest?cb=20160207221553,Around Bouquet,Cute Score UP! (iii),
R,35,Sakura Kitaōji,https://vignette.wikia.nocookie.net/aikatsu/images/0/0d/Photokatsu_0035.jpg/revision/latest?cb=20171014101159,Cute Flash,Cute Aura UP! (ii),
R+,36,Sakura Kitaōji+,https://vignette.wikia.nocookie.net/aikatsu/images/d/d1/Photokatsu_0036.png/revision/latest?cb=20160201095056,Cute Flash,Cute Aura UP! (ii),
SR,37,"""Little Cat"" Seira Otoshiro",https://vignette.wikia.nocookie.net/aikatsu/images/8/85/Photokatsu_0037.jpg/revision/latest?cb=20160128125906,Passion Beat,Cool Aura UP! (iii),
SR+,38,"""Let's Rock!"" Seira Otoshiro+",https://vignette.wikia.nocookie.net/aikatsu/images/e/e8/Photokatsu_0038.jpg/revision/latest?cb=20160213180256,Passion Beat,Cool Aura UP! (iii),
R,39,Seira Otoshiro,https://vignette.wikia.nocookie.net/aikatsu/images/b/bf/Photokatsu_0039.jpg/revision/latest?cb=20160128094203,Cool Flash,Cool Change (ii),
R+,40,Seira Otoshiro+,https://vignette.wikia.nocookie.net/aikatsu/images/e/e3/Photokatsu_0040.jpg/revision/latest?cb=20160202144325,Cool Flash,Cool Change (ii),
SR,41,"""Colorful Tile"" Kī Saegusa",https://vignette.wikia.nocookie.net/aikatsu/images/2/2b/Photokatsu_0041.jpg/revision/latest?cb=20160131070932,Trick Toy Box,Pop Change (iii),
SR+,42,"""Milk Clown"" Kī Saegusa",https://vignette.wikia.nocookie.net/aikatsu/images/8/8e/Photokatsu_0042.png/revision/latest?cb=20160131130211,Trick Toy Box,Pop Change (iii),
R,43,Kī Saegusa,https://vignette.wikia.nocookie.net/aikatsu/images/0/03/Photokatsu_0043.jpg/revision/latest?cb=20160128030617,Pop Flash,Pop plus Appeal (ii),
